Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
6,523211;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,543211;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,563211;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,58321;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,603211;47,69791;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,62321;47,69786;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,643211;47,69786;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,66321;47,69786;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,683211;47,69786;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,703211;47,69786;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,723211;47,6978;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,743211;47,69778;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,763211;47,69778;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,783211;47,69761;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,803211;47,69761;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,823211;47,69747;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,843211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,863211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,883211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,903211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,923211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,943211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,963211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,983211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
